gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,1,3392,6144,ck,7,0,15.6611,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.66,1331.54,0.0
gfx942,304,2,3392,6144,ck,7,0,16.1662,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.16,1290.74,0.0
gfx942,304,4,3392,6144,ck,7,0,16.3849,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.18,1275.09,0.0
gfx942,304,8,3392,6144,ck,7,0,15.5945,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,21.38,1343.03,0.0
gfx942,304,16,3392,6144,ck,7,0,13.689,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,48.72,1537.53,0.0
gfx942,304,32,3392,6144,ck,7,0,15.1134,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,88.25,1406.31,0.0
gfx942,304,40,3392,6144,ck,7,0,16.2521,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,102.59,1314.14,0.0
gfx942,304,48,3392,6144,ck,7,0,13.885,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,144.09,1545.62,0.0
gfx942,304,56,3392,6144,ck,7,0,15.5467,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,150.14,1387.07,0.0
gfx942,304,64,3392,6144,ck,7,0,14.9651,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,178.25,1447.89,0.0
gfx942,304,72,3392,6144,ck,7,0,18.6645,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,160.79,1166.45,0.0
gfx942,304,80,3392,6144,ck,7,0,18.6574,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,178.72,1172.44,0.0
gfx942,304,96,3392,6144,ck,12,0,15.8832,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,251.92,1390.24,0.0
gfx942,304,104,3392,6144,ck,7,0,20.0669,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,216.02,1105.55,0.0
gfx942,304,112,3392,6144,ck,7,0,20.424,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,228.57,1091.28,0.0
gfx942,304,128,3392,6144,ck,12,0,17.1308,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,311.44,1313.15,0.0
gfx942,304,136,3392,6144,ck,12,0,23.685,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,239.33,954.13,0.0
