cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
80,9426,768,2048,torch.float8_e4m3fnuz,cktile,62,0,119.2938,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_64x256x64_1x4x1_16x16x64_default,248.56,296.37,0.0
80,8298,768,2048,torch.float8_e4m3fnuz,cktile,62,0,103.1755,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_64x256x64_1x4x1_16x16x64_default,253.0,303.49,0.0
80,8432,768,2048,torch.float8_e4m3fnuz,cktile,62,0,104.0133,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_64x256x64_1x4x1_16x16x64_default,255.01,305.66,0.0
80,8076,768,2048,torch.float8_e4m3fnuz,cktile,10,0,102.7644,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_64x256x64_1x4x1_16x16x64_default,247.21,296.96,0.0
80,8446,768,2048,torch.float8_e4m3fnuz,cktile,10,0,103.9869,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_64x256x64_1x4x1_16x16x64_default,255.5,306.22,0.0
80,8090,768,2048,torch.float8_e4m3fnuz,cktile,62,0,102.8949,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_64x256x64_1x4x1_16x16x64_default,247.33,297.07,0.0
80,8340,768,2048,torch.float8_e4m3fnuz,cktile,62,0,103.5062,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_64x256x64_1x4x1_16x16x64_default,253.47,303.98,0.0
80,8340,2048,512,torch.float8_e4m3fnuz,cktile,46,0,95.7349,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x128x128_1x4x1_16x16x64_default,182.69,412.38,0.0
80,9427,768,2048,torch.float8_e4m3fnuz,cktile,62,0,119.115,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_64x256x64_1x4x1_16x16x64_default,248.96,296.85,0.0
80,8411,768,2048,torch.float8_e4m3fnuz,cktile,10,0,104.2401,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_64x256x64_1x4x1_16x16x64_default,253.82,304.28,0.0
