gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx942,80,1,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,21.311139999999995,fused_moe_gfx942__16_16_16_False,81.93%,0.0,,0%,21.311139999999995,1,0,0,0.0,0.0,
gfx942,80,1,6144,384,129,5,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,22.712370000000202,fused_moe_gfx942__16_16_16_False,82.44%,0.0,,0%,22.712370000000202,1,0,0,0.0,0.0,
gfx942,80,2,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,35.470816091953836,fused_moe_gfx942__16_16_16_False,81.56%,0.0,,0%,35.470816091953836,1,0,0,0.0,0.0,
gfx942,80,2,6144,384,129,5,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,40.242880000000426,fused_moe_gfx942__16_16_16_False,81.88%,0.0,,0%,40.242880000000426,1,0,0,0.0,0.0,
gfx942,80,4,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,56.55976000000006,fused_moe_gfx942__16_16_16_False,81.60%,0.0,,0%,56.55976000000006,1,0,0,0.0,0.0,
gfx942,80,4,6144,384,129,5,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,60.838199999999844,fused_moe_gfx942__16_16_16_False,81.87%,0.0,,0%,60.838199999999844,1,0,0,0.0,0.0,
gfx942,80,8,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,86.38754999999998,fused_moe_gfx942__16_16_16_False,81.59%,0.0,,0%,86.38754999999998,1,0,0,0.0,0.0,
gfx942,80,8,6144,384,129,5,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,45.2978,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_16x64_5tg_pf3E,0.0%,34.199,moe_ck2stages_gemm2_128x16x128x128_1x2_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,1.1%,79.4968,0,0,0,7.12,11487.19,
gfx942,80,16,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,125.63730864197544,fused_moe_gfx942__16_16_16_False,81.62%,0.0,,0%,125.63730864197544,1,0,0,0.0,0.0,
gfx942,80,16,6144,384,129,5,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,156.29635000000007,fused_moe_gfx942__16_16_16_False,81.01%,0.0,,0%,156.29635000000007,1,0,0,0.0,0.0,
gfx942,80,32,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,91.8379,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_16x128_4tg_pf2E,0.0%,70.8612,moe_ck2stages_gemm2_128x16x128x128_1x2_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,1.0%,162.6991,0,0,0,11.14,5572.0,
gfx942,80,32,6144,384,129,5,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,127.9521,moe_ck2stages_gemm1_256x16x128x256_1x4_MulABScale_v1_Nswizzle0_Quant2_MulRoutedWeight0_silu_F8_F8_B16,0.0%,81.3969,moe_ck2stages_gemm2_128x16x128x128_1x2_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,1.1%,209.349,0,0,0,10.82,4364.18,
gfx942,80,64,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,148.9637,moe_ck2stages_gemm1_256x16x64x256_1x4_MulABScale_v1_Nswizzle0_Quant2_MulRoutedWeight0_silu_F8_F8_B16,0.0%,103.6822,moe_ck2stages_gemm2_128x16x128x128_1x2_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,1.0%,252.6459,0,0,0,14.34,3590.6,
gfx942,80,64,6144,384,129,5,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,155.1543,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_16x64_5tg_pf3E,0.0%,109.6279,moe_ck2stages_gemm2_128x16x128x128_1x2_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,1.1%,264.7822,0,0,0,17.11,3452.75,
gfx942,80,128,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,164.206,moe_ck2stages_gemm1_256x16x128x256_1x4_MulABScale_v1_Nswizzle0_Quant2_MulRoutedWeight0_silu_F8_F8_B16,0.0%,124.1012,moe_ck2stages_gemm2_128x16x128x128_1x2_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,1.0%,288.3072,0,0,0,25.14,3150.56,
gfx942,80,128,6144,384,129,5,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,166.6048,moe_ck2stages_gemm1_256x16x128x256_1x4_MulABScale_v1_Nswizzle0_Quant2_MulRoutedWeight0_silu_F8_F8_B16,0.0%,127.572,moe_ck2stages_gemm2_128x16x128x128_1x2_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,1.1%,294.1768,0,0,0,30.8,3111.76,
gfx942,80,256,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,171.8266,moe_ck2stages_gemm1_256x16x128x256_1x4_MulABScale_v1_Nswizzle0_Quant2_MulRoutedWeight0_silu_F8_F8_B16,0.0%,139.5121,moe_ck2stages_gemm2_128x16x128x128_1x2_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,1.0%,311.3387,0,0,0,46.56,2925.07,
gfx942,80,256,6144,384,129,5,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,328.6196,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x384E,0.0%,0.0,,0.0%,328.6196,1,0,0,55.14,2792.79,
gfx942,80,512,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,337.6528,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x384E,0.0%,0.0,,0.0%,337.6528,1,0,0,85.86,2711.09,
gfx942,80,512,6144,384,129,5,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,346.0742,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x384E,0.0%,0.0,,0.0%,346.0742,1,0,0,104.71,2665.57,
gfx942,80,1024,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,470.208049999999,fused_moe_gfx942__64_128_128_True,3.45%,0.0,,0%,470.208049999999,1,0,0,0.0,0.0,
gfx942,80,1024,6144,384,129,5,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,494.50543999999877,fused_moe_gfx942__64_128_256_True,3.37%,0.0,,0%,494.50543999999877,1,0,0,0.0,0.0,
gfx942,80,2048,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,656.8052,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x384E,0.0%,0.0,,0.0%,656.8052,1,0,0,176.56,1436.83,
gfx942,80,2048,6144,384,129,5,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,789.9214,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x384E,0.0%,0.0,,0.0%,789.9214,1,0,0,183.51,1203.66,
gfx942,80,4096,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,1121.3777826086975,fused_moe_gfx942__64_128_128_True,3.63%,0.0,,0%,1121.3777826086975,1,0,0,0.0,0.0,
gfx942,80,4096,6144,384,129,5,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,1312.9670816326536,fused_moe_gfx942__64_128_128_True,3.52%,0.0,,0%,1312.9670816326536,1,0,0,0.0,0.0,
gfx942,80,8192,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,1915.2256161616142,fused_moe_gfx942__64_128_256_True,3.58%,0.0,,0%,1915.2256161616142,1,0,0,0.0,0.0,
gfx942,80,8192,6144,384,129,5,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,2255.90204123711,fused_moe_gfx942__64_128_256_True,3.36%,0.0,,0%,2255.90204123711,1,0,0,0.0,0.0,
gfx942,80,16384,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,3456.7233000000033,fused_moe_gfx942__64_128_256_True,3.62%,0.0,,0%,3456.7233000000033,1,0,0,0.0,0.0,
gfx942,80,16384,6144,384,129,5,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,4151.957579999988,fused_moe_gfx942__64_128_256_True,3.43%,0.0,,0%,4151.957579999988,1,0,0,0.0,0.0,
gfx942,80,32768,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,6569.268050000022,fused_moe_gfx942__64_128_256_True,3.63%,0.0,,0%,6569.268050000022,1,0,0,0.0,0.0,
gfx942,80,32768,6144,384,129,5,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,7920.868359999988,fused_moe_gfx942__64_128_128_True,3.48%,0.0,,0%,7920.868359999988,1,0,0,0.0,0.0,
gfx942,80,65536,6144,384,128,4,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,12777.092525252501,fused_moe_gfx942__64_128_256_True,3.68%,0.0,,0%,12777.092525252501,1,0,0,0.0,0.0,
